County,State Long,Annual Establishments,Annual Average Employment,Total Annual Wages,Annual Average Weekly Wage,Annual Wages per Employee,Annual Average Employment Location Quotient,Total Annual Wages Location Quotient,State
St. Bernard Parish, Louisiana,811,10178,492545749,931,48392,1,1,LA
St. Charles Parish, Louisiana,1242,23655,1660918624,1350,70216,1,1,LA
St. Helena Parish, Louisiana,124,1461,53317032,702,36506,1,1,LA
St. James Parish, Louisiana,416,8104,573341642,1361,70748,1,1,LA
St. John the Baptist Parish, Louisiana,924,15096,888319188,1132,58843,1,1,LA
St. Landry Parish, Louisiana,1903,23609,860132481,701,36432,1,1,LA
St. Martin Parish, Louisiana,1002,12115,492277762,781,40635,1,1,LA
St. Mary Parish, Louisiana,1441,21222,1034376297,937,48741,1,1,LA
St. Tammany Parish, Louisiana,8486,88945,4175615725,903,46946,1,1,LA
Tangipahoa Parish, Louisiana,3006,43578,1555359516,686,35691,1,1,LA
Tensas Parish, Louisiana,143,917,30832951,647,33624,1,1,LA
Terrebonne Parish, Louisiana,3253,49805,2530271938,977,50804,1,1,LA
Union Parish, Louisiana,397,5142,164492214,615,31989,1,1,LA
Vermilion Parish, Louisiana,1189,12630,510153614,777,40391,1,1,LA
Vernon Parish, Louisiana,940,12666,492514955,748,38884,1,1,LA
Washington Parish, Louisiana,805,10445,365788153,673,35020,1,1,LA
Webster Parish, Louisiana,927,11722,454980876,746,38815,1,1,LA
West Baton Rouge Parish, Louisiana,728,12143,644249535,1020,53054,1,1,LA
West Carroll Parish, Louisiana,218,2306,93456936,779,40534,1,1,LA
West Feliciana Parish, Louisiana,267,5537,299013635,1039,54008,1,1,LA
Winn Parish, Louisiana,334,4598,166560007,697,36228,1,1,LA
Unknown Or Undefined, Louisiana,2688,29597,1883818233,1224,63650,1,1,LA
Androscoggin County, Maine,3105,49276,2092585001,817,42467,1,1,ME
Aroostook County, Maine,2352,26836,1028799804,737,38337,1,1,ME
Cumberland County, Maine,13818,185358,9605434391,997,51821,1,1,ME
Franklin County, Maine,945,10623,380116927,688,35782,1,1,ME
Hancock County, Maine,2621,22604,874889746,744,38704,1,1,ME
Kennebec County, Maine,3851,60265,2594863145,828,43058,1,1,ME
Knox County, Maine,1999,17605,703955062,769,39987,1,1,ME
Lincoln County, Maine,1570,11005,407711577,712,37049,1,1,ME
Oxford County, Maine,1568,16805,632630482,724,37645,1,1,ME
Penobscot County, Maine,4608,69899,2959911177,814,42346,1,1,ME
Piscataquis County, Maine,540,5597,194015296,667,34663,1,1,ME
Sagadahoc County, Maine,1132,15640,771632401,949,49338,1,1,ME
Somerset County, Maine,1414,16088,649142067,776,40350,1,1,ME
Waldo County, Maine,1213,11852,462490485,750,39023,1,1,ME
Washington County, Maine,1086,10075,373991294,714,37119,1,1,ME
York County, Maine,6834,73144,3311842568,871,45279,1,1,ME
Unknown Or Undefined, Maine,4403,13107,887106459,1302,67681,1,1,ME
Allegany County, Maryland,1575,29035,1133628473,751,39044,1,1,MD
Anne Arundel County, Maryland,15305,273838,16307582397,1145,59552,1,1,MD
Baltimore County, Maryland,21309,378094,21361146493,1086,56497,1,1,MD
Calvert County, Maryland,1861,22572,1143101207,974,50643,1,1,MD
Caroline County, Maryland,689,9827,410664997,804,41790,1,1,MD
Carroll County, Maryland,4574,58256,2549965342,842,43772,1,1,MD
Cecil County, Maryland,1919,32228,1569080211,936,48687,1,1,MD
Charles County, Maryland,2838,41358,1914839740,890,46299,1,1,MD
Dorchester County, Maryland,716,10878,435521112,770,40038,1,1,MD
Frederick County, Maryland,6470,102090,5155363916,971,50498,1,1,MD
Garrett County, Maryland,926,11828,419280735,682,35447,1,1,MD
Harford County, Maryland,5840,94315,4914654659,1002,52109,1,1,MD
Howard County, Maryland,10071,171622,11712018769,1312,68243,1,1,MD
Kent County, Maryland,724,7992,331102585,797,41428,1,1,MD
Montgomery County, Maryland,32950,471432,35725101523,1457,75780,1,1,MD
Prince George's County, Maryland,16186,320279,18616906768,1118,58127,1,1,MD
Queen Anne's County, Maryland,1476,15077,616896176,787,40916,1,1,MD
St. Mary's County, Maryland,2158,44671,3021383437,1301,67637,1,1,MD
Somerset County, Maryland,468,6688,293424824,844,43871,1,1,MD
Talbot County, Maryland,1557,19389,834745445,828,43053,1,1,MD
Washington County, Maryland,3504,65655,2857804955,837,43527,1,1,MD
Wicomico County, Maryland,2592,45361,1976673035,838,43577,1,1,MD
Worcester County, Maryland,2208,24976,857812076,661,34346,1,1,MD
Baltimore City, Maryland,13682,343861,22615674340,1265,65770,1,1,MD
Unknown Or Undefined, Maryland,21242,75544,6981580424,1777,92417,1,1,MD
Barnstable County, Massachusetts,9525,97335,4664801685,922,47925,1,1,MA
Berkshire County, Massachusetts,5215,61193,2884470866,906,47137,1,1,MA
Bristol County, Massachusetts,17873,228517,11514949860,969,50390,1,1,MA
Dukes County, Massachusetts,1307,9016,469450602,1001,52071,1,1,MA
Essex County, Massachusetts,26561,325205,19626513818,1161,60351,1,1,MA
Franklin County, Massachusetts,2516,26837,1139843314,817,42472,1,1,MA
Hampden County, Massachusetts,18726,209528,10368954250,952,49487,1,1,MA
Hampshire County, Massachusetts,4911,65735,3193977589,934,48588,1,1,MA
Middlesex County, Massachusetts,55938,922891,78975136796,1646,85574,1,1,MA
Nantucket County, Massachusetts,1145,7545,434852695,1108,57638,1,1,MA
Norfolk County, Massachusetts,25496,353816,23407302390,1272,66157,1,1,MA
Plymouth County, Massachusetts,16275,194530,10254471005,1014,52714,1,1,MA
Suffolk County, Massachusetts,30814,679442,68282920709,1933,100498,1,1,MA
Worcester County, Massachusetts,26065,349156,19358684319,1066,55444,1,1,MA
Unknown Or Undefined, Massachusetts,16027,51068,5632263887,2121,110289,1,1,MA
Alcona County, Michigan,175,1763,62796328,685,35629,1,1,MI
Alger County, Michigan,219,2517,104277847,797,41435,1,1,MI
Allegan County, Michigan,2203,39402,1886741581,921,47884,1,1,MI
Alpena County, Michigan,784,11337,447350759,759,39459,1,1,MI
Antrim County, Michigan,525,5364,177450369,636,33082,1,1,MI
Arenac County, Michigan,303,4526,161303519,685,35642,1,1,MI
Baraga County, Michigan,207,2916,117600102,776,40333,1,1,MI
Barry County, Michigan,871,12477,503551207,776,40359,1,1,MI
Bay County, Michigan,2071,33706,1451502491,828,43063,1,1,MI
Benzie County, Michigan,445,4298,145734712,652,33908,1,1,MI
Berrien County, Michigan,3420,61209,2963255905,931,48412,1,1,MI
Branch County, Michigan,783,14343,594214400,797,41428,1,1,MI
Calhoun County, Michigan,2235,54732,2862044253,1006,52292,1,1,MI
Cass County, Michigan,732,9485,382067108,775,40280,1,1,MI
Charlevoix County, Michigan,782,10533,470150304,858,44637,1,1,MI
Cheboygan County, Michigan,765,6471,215951060,642,33373,1,1,MI
Chippewa County, Michigan,794,12427,486467029,753,39147,1,1,MI
Clare County, Michigan,514,6776,267562570,759,39489,1,1,MI
Clinton County, Michigan,1221,16590,694100295,805,41839,1,1,MI
Crawford County, Michigan,269,4127,176886160,824,42862,1,1,MI
Delta County, Michigan,998,13762,547362305,765,39774,1,1,MI
Dickinson County, Michigan,827,14092,675868449,922,47961,1,1,MI
Eaton County, Michigan,1869,42746,2044943129,920,47840,1,1,MI
Emmet County, Michigan,1384,18105,728990001,774,40264,1,1,MI
Genesee County, Michigan,6850,134506,6179306953,883,45941,1,1,MI
Gladwin County, Michigan,378,4083,148716736,700,36422,1,1,MI
Gogebic County, Michigan,385,5337,212798843,767,39871,1,1,MI
Grand Traverse County, Michigan,3287,49968,2226775382,857,44564,1,1,MI
Gratiot County, Michigan,704,12745,556947081,840,43699,1,1,MI
Hillsdale County, Michigan,765,12769,559826970,843,43844,1,1,MI
Houghton County, Michigan,856,11047,479667006,835,43421,1,1,MI
Huron County, Michigan,955,11146,441829819,762,39639,1,1,MI
Ingham County, Michigan,6007,151506,8065934473,1024,53238,1,1,MI
Ionia County, Michigan,1005,19844,698607397,677,35205,1,1,MI
Iosco County, Michigan,564,7524,298223268,762,39638,1,1,MI
Iron County, Michigan,350,3759,138786281,710,36925,1,1,MI
Isabella County, Michigan,1284,28819,1127470261,752,39123,1,1,MI
Jackson County, Michigan,2636,57209,2784000696,936,48664,1,1,MI
Kalamazoo County, Michigan,5019,119844,6228128570,999,51969,1,1,MI
Kalkaska County, Michigan,313,4150,218823368,1014,52735,1,1,MI
Kent County, Michigan,14705,402253,19692717876,941,48956,1,1,MI
Keweenaw County, Michigan,73,429,11095182,498,25883,1,1,MI
Lake County, Michigan,152,1625,55357783,655,34072,1,1,MI
Lapeer County, Michigan,1525,21415,852818700,766,39823,1,1,MI
Leelanau County, Michigan,682,6454,237744955,708,36839,1,1,MI
Lenawee County, Michigan,1747,26997,1185397927,844,43908,1,1,MI
Livingston County, Michigan,4658,62010,2767502276,858,44630,1,1,MI
Luce County, Michigan,184,1905,69614607,703,36546,1,1,MI
Mackinac County, Michigan,450,4528,150087630,638,33150,1,1,MI
Macomb County, Michigan,17670,329791,18468584033,1077,56001,1,1,MI
Manistee County, Michigan,532,7078,294175534,799,41562,1,1,MI
Marquette County, Michigan,1570,26563,1131380723,819,42593,1,1,MI
Mason County, Michigan,686,10541,424821467,775,40302,1,1,MI
Mecosta County, Michigan,633,13304,532656504,770,40038,1,1,MI
Menominee County, Michigan,460,7318,272846505,717,37284,1,1,MI
Midland County, Michigan,3207,37392,2384339637,1226,63766,1,1,MI
Missaukee County, Michigan,342,3301,118569694,691,35917,1,1,MI
Monroe County, Michigan,2136,40419,1985995921,945,49135,1,1,MI
Montcalm County, Michigan,980,16102,640402563,765,39772,1,1,MI
Montmorency County, Michigan,196,2067,77779960,724,37628,1,1,MI
Muskegon County, Michigan,2826,62944,2703581094,826,42952,1,1,MI
Newaygo County, Michigan,775,11856,478855994,777,40390,1,1,MI
Oakland County, Michigan,39700,737266,46349655434,1209,62867,1,1,MI
Oceana County, Michigan,544,6837,254905476,717,37285,1,1,MI
Ogemaw County, Michigan,514,5888,222608207,727,37810,1,1,MI
Ontonagon County, Michigan,167,1193,37606121,606,31516,1,1,MI
Osceola County, Michigan,446,6902,314487705,876,45564,1,1,MI
Oscoda County, Michigan,190,1566,48776351,599,31154,1,1,MI
Otsego County, Michigan,710,10177,418223602,790,41094,1,1,MI
Ottawa County, Michigan,5732,126874,6095913111,924,48047,1,1,MI
Presque Isle County, Michigan,330,2722,102516696,724,37662,1,1,MI
Roscommon County, Michigan,504,5480,178782681,627,32626,1,1,MI
Saginaw County, Michigan,3880,83540,3804712629,876,45543,1,1,MI
St. Clair County, Michigan,2801,44121,1984330036,865,44975,1,1,MI
St. Joseph County, Michigan,5174,24469,900319074,708,36794,1,1,MI
Sanilac County, Michigan,839,11078,403056801,700,36385,1,1,MI
Schoolcraft County, Michigan,230,2695,110647990,789,41053,1,1,MI
Shiawassee County, Michigan,1078,15355,610097006,764,39734,1,1,MI
Tuscola County, Michigan,812,11460,462231738,776,40334,1,1,MI
Van Buren County, Michigan,1347,21574,987703677,880,45782,1,1,MI
Washtenaw County, Michigan,8267,213270,12672662234,1143,59421,1,1,MI
Wayne County, Michigan,31354,724880,44481149415,1180,61364,1,1,MI
Wexford County, Michigan,792,13454,545793401,780,40566,1,1,MI
Unknown Or Undefined, Michigan,31100,134801,9411599498,1343,69819,1,1,MI
Aitkin County, Minnesota,449,4080,148033628,698,36281,1,1,MN
Anoka County, Minnesota,7504,125543,6692073603,1025,53305,1,1,MN
Becker County, Minnesota,1026,14528,561402208,743,38644,1,1,MN
Beltrami County, Minnesota,1229,19865,844160079,817,42495,1,1,MN
Benton County, Minnesota,974,17171,736149980,824,42871,1,1,MN
Big Stone County, Minnesota,203,1707,66469808,749,38932,1,1,MN
Blue Earth County, Minnesota,2050,40010,1760820719,846,44009,1,1,MN
Brown County, Minnesota,824,14094,586821319,801,41635,1,1,MN
Carlton County, Minnesota,737,13365,594653693,856,44492,1,1,MN
Carver County, Minnesota,2510,40573,2191419504,1039,54012,1,1,MN
Cass County, Minnesota,898,10438,345419619,636,33092,1,1,MN
Chippewa County, Minnesota,437,5760,240734797,804,41798,1,1,MN
Chisago County, Minnesota,1166,15468,689014728,857,44544,1,1,MN
Clay County, Minnesota,1397,19183,785209132,787,40934,1,1,MN
Clearwater County, Minnesota,226,2628,107048194,783,40730,1,1,MN
Cook County, Minnesota,308,2830,92622735,629,32730,1,1,MN
Cottonwood County, Minnesota,397,5010,191688771,736,38263,1,1,MN
Crow Wing County, Minnesota,2175,29761,1202091091,777,40392,1,1,MN
Dakota County, Minnesota,10279,189591,10714644078,1087,56515,1,1,MN
Dodge County, Minnesota,457,6109,284394210,895,46552,1,1,MN
Douglas County, Minnesota,1422,18963,822330324,834,43366,1,1,MN
Faribault County, Minnesota,461,4493,174303999,746,38799,1,1,MN
Fillmore County, Minnesota,677,6024,203329648,649,33755,1,1,MN
Freeborn County, Minnesota,817,12024,495786337,793,41232,1,1,MN
Goodhue County, Minnesota,1349,21496,1030891723,922,47958,1,1,MN
Grant County, Minnesota,264,1913,74573283,750,38991,1,1,MN
Hennepin County, Minnesota,40594,930135,66112870982,1367,71079,1,1,MN
Houston County, Minnesota,446,5174,181170190,673,35014,1,1,MN
Hubbard County, Minnesota,618,6144,235156643,736,38275,1,1,MN
Isanti County, Minnesota,815,11060,452106014,786,40877,1,1,MN
Itasca County, Minnesota,1230,16202,674381912,800,41623,1,1,MN
Jackson County, Minnesota,343,5140,202185841,757,39338,1,1,MN
Kanabec County, Minnesota,322,3833,152587800,766,39808,1,1,MN
Kandiyohi County, Minnesota,1405,24352,985530588,778,40471,1,1,MN
Kittson County, Minnesota,187,1492,56864043,733,38106,1,1,MN
Koochiching County, Minnesota,424,4499,193543818,827,43018,1,1,MN
Lac Qui Parle County, Minnesota,228,2194,77616613,680,35385,1,1,MN
Lake County, Minnesota,324,4183,181943968,836,43498,1,1,MN
Lake of The Woods County, Minnesota,169,1667,58548274,676,35129,1,1,MN
Le Sueur County, Minnesota,733,8537,378537686,853,44339,1,1,MN
Lincoln County, Minnesota,227,1682,58695875,671,34900,1,1,MN
Lyon County, Minnesota,823,14346,605433739,812,42201,1,1,MN
McLeod County, Minnesota,953,16371,748627672,879,45729,1,1,MN
Mahnomen County, Minnesota,116,1883,67212739,686,35698,1,1,MN
Marshall County, Minnesota,315,2203,96969781,846,44017,1,1,MN
Martin County, Minnesota,686,8756,366857755,806,41899,1,1,MN
Meeker County, Minnesota,614,7299,285749635,753,39150,1,1,MN
Mille Lacs County, Minnesota,710,9693,347665002,690,35868,1,1,MN
Morrison County, Minnesota,974,10801,402488368,717,37265,1,1,MN
Mower County, Minnesota,844,16391,804463434,944,49080,1,1,MN
Murray County, Minnesota,330,2995,112648756,723,37612,1,1,MN
Nicollet County, Minnesota,758,15251,676648814,853,44369,1,1,MN
Nobles County, Minnesota,634,10488,449941091,825,42902,1,1,MN
Norman County, Minnesota,246,1683,64194310,734,38147,1,1,MN
Olmsted County, Minnesota,3604,99528,6315440727,1220,63454,1,1,MN
Otter Tail County, Minnesota,1796,22923,908977275,763,39653,1,1,MN
Pennington County, Minnesota,423,10301,475405697,888,46152,1,1,MN
Pine County, Minnesota,643,8289,268383410,623,32379,1,1,MN
Pipestone County, Minnesota,367,4522,170807021,726,37773,1,1,MN
Polk County, Minnesota,988,12248,502528475,789,41029,1,1,MN
Pope County, Minnesota,351,4450,195782156,846,43994,1,1,MN
Ramsey County, Minnesota,13846,333374,21171007328,1221,63505,1,1,MN
Red Lake County, Minnesota,125,1034,37545278,698,36317,1,1,MN
Redwood County, Minnesota,572,5988,232433974,746,38818,1,1,MN
Renville County, Minnesota,590,5891,243933815,796,41406,1,1,MN
Rice County, Minnesota,1598,25294,1183147012,900,46775,1,1,MN
Rock County, Minnesota,305,3387,135629975,770,40040,1,1,MN
Roseau County, Minnesota,467,7929,377365590,915,47594,1,1,MN
St. Louis County, Minnesota,5376,98456,4601575976,899,46738,1,1,MN
Scott County, Minnesota,3309,53976,2726442431,971,50512,1,1,MN
Sherburne County, Minnesota,2059,26117,1184231447,872,45343,1,1,MN
Sibley County, Minnesota,403,4338,177901314,789,41012,1,1,MN
Stearns County, Minnesota,4382,86927,4114738973,910,47336,1,1,MN
Steele County, Minnesota,994,20966,973158314,893,46415,1,1,MN
Stevens County, Minnesota,348,5529,260174614,905,47055,1,1,MN
Swift County, Minnesota,336,3689,151081213,788,40957,1,1,MN
Todd County, Minnesota,578,6441,262317202,783,40729,1,1,MN
Traverse County, Minnesota,148,1153,40950009,683,35511,1,1,MN
Wabasha County, Minnesota,579,6747,254761803,726,37760,1,1,MN
Wadena County, Minnesota,418,5521,212276884,739,38450,1,1,MN
Waseca County, Minnesota,516,5970,251186955,809,42077,1,1,MN
Washington County, Minnesota,5802,87243,4203634502,927,48183,1,1,MN
Watonwan County, Minnesota,323,4397,162119149,709,36868,1,1,MN
Wilkin County, Minnesota,213,1829,74877014,787,40929,1,1,MN
Winona County, Minnesota,1188,24592,1045840914,818,42528,1,1,MN
Wright County, Minnesota,3300,44073,1885881067,823,42790,1,1,MN
Yellow Medicine County, Minnesota,358,4060,151497084,718,37318,1,1,MN
Unknown Or Undefined, Minnesota,23022,58669,5579491726,1829,95102,1,1,MN
Adams County, Mississippi,847,10621,368148865,667,34663,1,1,MS
Alcorn County, Mississippi,796,14277,519080198,699,36359,1,1,MS
Amite County, Mississippi,190,1807,64228135,683,35536,1,1,MS
Attala County, Mississippi,394,4554,146801982,620,32238,1,1,MS
Benton County, Mississippi,90,966,35081810,699,36329,1,1,MS
Bolivar County, Mississippi,834,11089,399682429,693,36042,1,1,MS
Calhoun County, Mississippi,290,3204,97882051,587,30548,1,1,MS
Carroll County, Mississippi,144,1147,35790101,600,31199,1,1,MS
Chickasaw County, Mississippi,355,5415,184333513,655,34042,1,1,MS
Choctaw County, Mississippi,157,2219,95482118,827,43026,1,1,MS
Claiborne County, Mississippi,136,3458,188234959,1047,54437,1,1,MS
Clarke County, Mississippi,232,2897,93152578,618,32159,1,1,MS
Clay County, Mississippi,386,5303,195275689,708,36822,1,1,MS
Coahoma County, Mississippi,618,7667,262755430,659,34272,1,1,MS
Copiah County, Mississippi,476,6965,240293090,664,34503,1,1,MS
Covington County, Mississippi,360,5449,188899317,667,34665,1,1,MS
DeSoto County, Mississippi,3057,62378,2189608165,675,35102,1,1,MS
Forrest County, Mississippi,1886,40461,1643709034,781,40625,1,1,MS
Franklin County, Mississippi,138,1552,59058468,732,38055,1,1,MS
George County, Mississippi,375,4920,163230023,638,33174,1,1,MS
Greene County, Mississippi,148,1929,61941688,618,32114,1,1,MS
Grenada County, Mississippi,577,10637,365467792,661,34359,1,1,MS
Hancock County, Mississippi,885,13317,652914816,943,49029,1,1,MS
Harrison County, Mississippi,4639,85557,3311964730,744,38710,1,1,MS
Hinds County, Mississippi,5804,120149,5552727887,889,46216,1,1,MS
Holmes County, Mississippi,301,3469,114363270,634,32967,1,1,MS
Humphreys County, Mississippi,184,2271,65225614,552,28719,1,1,MS
Issaquena County, Mississippi,33,189,5041934,513,26700,1,1,MS
Itawamba County, Mississippi,357,6076,218021602,690,35884,1,1,MS
Jackson County, Mississippi,2435,48602,2450379065,970,50417,1,1,MS
Jasper County, Mississippi,226,4010,160508920,770,40026,1,1,MS
Jefferson County, Mississippi,73,1038,34047532,631,32806,1,1,MS
Jefferson Davis County, Mississippi,163,1596,52747097,636,33053,1,1,MS
Jones County, Mississippi,1366,27078,1078525784,766,39830,1,1,MS
Kemper County, Mississippi,134,2212,102322377,890,46254,1,1,MS
Lafayette County, Mississippi,1338,24334,921791187,728,37882,1,1,MS
Lamar County, Mississippi,1465,19176,621197998,623,32395,1,1,MS
Lauderdale County, Mississippi,1939,32923,1194192283,698,36272,1,1,MS
Lawrence County, Mississippi,183,2422,106511612,846,43981,1,1,MS
Leake County, Mississippi,314,5125,159099236,597,31044,1,1,MS
Lee County, Mississippi,2497,53710,2133147570,764,39716,1,1,MS
Leflore County, Mississippi,816,14556,491474371,649,33765,1,1,MS
Lincoln County, Mississippi,820,12186,447956002,707,36759,1,1,MS
Lowndes County, Mississippi,1563,25068,1023023936,785,40810,1,1,MS
Madison County, Mississippi,3431,55382,2430110548,844,43879,1,1,MS
Marion County, Mississippi,563,7924,295530314,717,37296,1,1,MS
Marshall County, Mississippi,455,7145,283191283,762,39636,1,1,MS
Monroe County, Mississippi,641,9680,391468514,778,40442,1,1,MS
Montgomery County, Mississippi,241,2385,72225361,582,30284,1,1,MS
Neshoba County, Mississippi,550,11979,428403528,688,35764,1,1,MS
Newton County, Mississippi,354,5557,183590742,635,33038,1,1,MS
Noxubee County, Mississippi,222,2506,82186965,631,32793,1,1,MS
Oktibbeha County, Mississippi,955,20428,765595899,721,37477,1,1,MS
Panola County, Mississippi,648,10439,375408878,692,35964,1,1,MS
Pearl River County, Mississippi,832,10435,349135210,643,33459,1,1,MS
Perry County, Mississippi,165,2099,85343724,782,40661,1,1,MS
Pike County, Mississippi,1028,14782,481402245,626,32566,1,1,MS
Pontotoc County, Mississippi,512,12516,429696739,660,34332,1,1,MS
